part_number,date,previous_actual,actual_d,absolute_change,part_change_threshold
Part 39,2021-10-02,34.0,0,34.0,29.0
Part 39,2021-10-16,42.0,0,42.0,29.0
Part 39,2021-10-18,0.0,48,48.0,29.0
Part 39,2021-10-21,47.0,14,33.0,29.0
Part 4,2021-10-02,295.0,0,295.0,211.0
Part 4,2021-10-04,0.0,230,230.0,211.0
Part 40,2021-10-18,0.0,15,15.0,4.0
Part 40,2021-10-20,19.0,7,12.0,4.0
Part 40,2021-10-21,7.0,1,6.0,4.0
Part 42,2021-11-01,13.0,32,19.0,17.0
Part 43,2021-09-30,17.0,134,117.0,20.0
Part 43,2021-10-02,130.0,0,130.0,20.0
Part 43,2021-10-26,0.0,23,23.0,20.0
Part 43,2021-10-28,30.0,6,24.0,20.0
Part 44,2021-09-30,5.0,16,11.0,7.0
Part 44,2021-10-02,21.0,0,21.0,7.0
Part 44,2021-10-22,5.0,15,10.0,7.0
Part 44,2021-10-28,11.0,1,10.0,7.0
Part 46,2021-09-27,7.0,22,15.0,8.0
Part 46,2021-09-28,22.0,5,17.0,8.0
Part 46,2021-09-30,6.0,22,16.0,8.0
Part 46,2021-10-02,15.0,0,15.0,8.0
Part 46,2021-10-04,0.0,11,11.0,8.0
Part 48,2021-11-01,24.0,4,20.0,16.0
Part 49,2021-10-18,0.0,29,29.0,28.0
Part 5,2021-10-04,0.0,121,121.0,116.0
Part 51,2021-10-16,95.0,0,95.0,76.0
Part 51,2021-10-18,0.0,100,100.0,76.0
Part 55,2021-09-30,0.0,17,17.0,16.0
Part 55,2021-10-02,21.0,0,21.0,16.0
Part 55,2021-10-04,0.0,29,29.0,16.0
Part 56,2021-10-02,187.0,0,187.0,147.0
Part 56,2021-10-04,0.0,189,189.0,147.0
Part 56,2021-10-16,231.0,0,231.0,147.0
Part 56,2021-10-18,0.0,183,183.0,147.0
Part 59,2021-09-15,38.0,94,56.0,50.0
Part 6,2021-10-02,113.0,0,113.0,32.0
Part 6,2021-10-04,0.0,111,111.0,32.0
Part 60,2021-10-02,855.0,0,855.0,398.0
Part 60,2021-10-04,0.0,860,860.0,398.0
Part 60,2021-10-16,759.0,0,759.0,398.0
Part 60,2021-10-18,0.0,798,798.0,398.0
Part 60,2021-10-25,732.0,329,403.0,398.0
Part 60,2021-11-01,456.0,938,482.0,398.0
Part 61,2021-10-02,74.0,0,74.0,73.0
Part 61,2021-10-16,88.0,0,88.0,73.0
Part 61,2021-10-18,0.0,81,81.0,73.0
Part 62,2021-10-08,22.0,90,68.0,51.0
Part 62,2021-10-12,90.0,166,76.0,51.0
Part 62,2021-10-16,136.0,0,136.0,51.0
Part 62,2021-10-18,0.0,146,146.0,51.0
Part 62,2021-11-01,170.0,100,70.0,51.0
Part 63,2021-09-30,66.0,277,211.0,186.0
Part 63,2021-10-02,275.0,0,275.0,186.0
Part 63,2021-10-04,0.0,270,270.0,186.0
Part 63,2021-10-16,213.0,0,213.0,186.0
Part 63,2021-10-18,0.0,215,215.0,186.0
Part 64,2021-10-16,48.0,0,48.0,38.0
Part 64,2021-10-18,0.0,51,51.0,38.0
Part 65,2021-10-02,452.0,0,452.0,122.0
Part 65,2021-10-04,0.0,429,429.0,122.0
Part 65,2021-10-05,429.0,279,150.0,122.0
Part 65,2021-10-12,264.0,432,168.0,122.0
Part 65,2021-10-16,411.0,0,411.0,122.0
Part 65,2021-10-18,0.0,415,415.0,122.0
Part 65,2021-10-25,408.0,229,179.0,122.0
Part 65,2021-11-01,294.0,452,158.0,122.0
Part 66,2021-10-02,855.0,0,855.0,398.0
Part 66,2021-10-04,0.0,860,860.0,398.0
