part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason,test_rows,test_start,test_end,actual_total,actual_mean,actual_zero_count,recommended_model,recommended_model_test_mae,document_id,has_test_data
Part 75,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2091.0,232.33333333333334,0.0,3-day Moving Average,34.1111094156901,part_75,True
Part 76,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,65.0,7.222222222222222,0.0,CatBoost,7.789737865308908,part_76,True
Part 77,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,514.0,57.111111111111114,0.0,CatBoost,25.761518924411277,part_77,True
Part 78,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,632.0,70.22222222222223,0.0,3-day Moving Average,27.81481382581923,part_78,True
Part 79,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,118.0,13.11111111111111,0.0,3-day Moving Average,2.111111111111111,part_79,True
Part 8,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,269.0,29.88888888888889,0.0,CatBoost,16.26150529888377,part_8,True
Part 80,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1939.0,215.44444444444446,0.0,CatBoost,74.15410576674724,part_80,True
Part 81,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2697.0,299.6666666666667,0.0,CatBoost,75.15900783457725,part_81,True
Part 82,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,758.0,84.22222222222223,0.0,3-day Moving Average,5.592592027452257,part_82,True
Part 83,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,125.0,13.88888888888889,0.0,3-day Moving Average,2.074073897467719,part_83,True
Part 84,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,125.0,13.88888888888889,0.0,3-day Moving Average,2.074073897467719,part_84,True
Part 85,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,230.0,25.555555555555557,0.0,CatBoost,7.622850678369328,part_85,True
Part 86,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,19.0,2.111111111111111,0.0,3-day Moving Average,1.2962962786356609,part_86,True
Part 87,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,131.0,14.555555555555555,0.0,3-day Moving Average,2.888888888888889,part_87,True
Part 88,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,346.0,38.44444444444444,1.0,CatBoost,36.2148392401965,part_88,True
Part 89,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,126.0,14.0,3.0,CatBoost,9.517860354866132,part_89,True
Part 9,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,269.0,29.88888888888889,0.0,CatBoost,16.26150529888377,part_9,True
Part 90,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,131.0,14.555555555555555,0.0,3-day Moving Average,2.888888888888889,part_90,True
Part 91,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,760.0,84.44444444444444,0.0,3-day Moving Average,12.888888465033638,part_91,True
Part 92,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,5250.0,583.3333333333334,0.0,3-day Moving Average,68.81481255425348,part_92,True
Part 94,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,293.0,32.55555555555556,2.0,CatBoost,13.028339468284468,part_94,True
Part 95,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2134.0,237.11111111111111,0.0,3-day Moving Average,76.74074130588107,part_95,True
Part 97,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,274.0,30.444444444444443,0.0,CatBoost,46.49533072570874,part_97,True
Part 98,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,43.0,4.777777777777778,6.0,CatBoost,6.074245559959023,part_98,True
Part 99,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,359.0,39.888888888888886,0.0,CatBoost,16.48456300844223,part_99,True
